HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Maternal Mortality Ratio Average (1990-1999),Maternal Mortality Ratio Average (2000-2010),Maternal Mortality Ratio Average (2011-2021)
108,Guyana,0.714,GUY,America,Northern Hemisphere,High,219.0,205.0,174.5
109,South Africa,0.713,ZAF,Africa,Southern Hemisphere,High,162.0,165.5,140.0
110,Jamaica,0.709,JAM,America,Northern Hemisphere,High,79.0,78.0,79.5
111,Samoa,0.707,WSM,Oceania,Southern Hemisphere,High,117.5,73.0,48.5
112,Gabon,0.706,GAB,Africa,Southern Hemisphere,High,408.5,347.0,278.0
112,Lebanon,0.706,LBN,Asia,Northern Hemisphere,High,39.0,25.5,27.0
114,Indonesia,0.705,IDN,Asia,Southern Hemisphere,High,319.5,250.0,199.0
115,Viet Nam,0.703,VNM,Asia,Northern Hemisphere,High,93.5,57.5,45.0
116,Philippines,0.699,PHL,Asia,Northern Hemisphere,Medium,178.0,152.0,131.0
117,Botswana,0.693,BWA,Africa,Southern Hemisphere,Medium,251.5,220.5,160.0
118,Kyrgyzstan,0.692,KGZ,Asia,Northern Hemisphere,Medium,76.5,79.0,69.5
121,Iraq,0.686,IRQ,Asia,Northern Hemisphere,Medium,122.5,74.5,73.0
122,Tajikistan,0.685,TJK,Asia,Northern Hemisphere,Medium,67.5,38.0,19.5
123,Belize,0.683,BLZ,America,Northern Hemisphere,Medium,83.0,71.5,44.0
123,Morocco,0.683,MAR,Africa,Northern Hemisphere,Medium,253.0,140.0,78.0
125,El Salvador,0.675,SLV,America,Northern Hemisphere,Medium,94.5,63.5,49.5
126,Nicaragua,0.667,NIC,America,Northern Hemisphere,Medium,206.0,137.0,104.0
127,Bhutan,0.666,BTN,Asia,Northern Hemisphere,Medium,618.0,335.0,211.0
128,Cabo Verde,0.662,CPV,Africa,Northern Hemisphere,Medium,226.5,94.0,62.5
129,Bangladesh,0.661,BGD,Asia,Northern Hemisphere,Medium,520.0,346.0,210.5
130,Tuvalu,0.641,TUV,Oceania,Southern Hemisphere,Medium,,,
131,Marshall Islands,0.639,MHL,Oceania,Northern Hemisphere,Medium,,,
132,India,0.633,IND,Asia,Northern Hemisphere,Medium,493.5,290.0,165.0
133,Ghana,0.632,GHA,Africa,Northern Hemisphere,Medium,600.5,411.5,323.5
135,Guatemala,0.627,GTM,America,Northern Hemisphere,Medium,195.0,145.0,108.5
136,Kiribati,0.624,KIR,Oceania,Northern Hemisphere,Medium,177.5,124.0,101.0
137,Honduras,0.621,HND,America,Northern Hemisphere,Medium,124.0,79.5,68.5
138,Sao Tome and Principe,0.618,STP,Africa,Northern Hemisphere,Medium,225.0,159.5,133.5
139,Namibia,0.615,NAM,Africa,Southern Hemisphere,Medium,327.5,307.0,225.5
140,Timor-Leste,0.607,TLS,Asia,Southern Hemisphere,Medium,1076.0,482.0,170.0
140,Vanuatu,0.607,VUT,Oceania,Southern Hemisphere,Medium,190.5,116.0,80.0
143,Nepal,0.602,NPL,Asia,Northern Hemisphere,Medium,782.0,429.0,235.5
145,Equatorial Guinea,0.596,GNQ,Africa,Northern Hemisphere,Medium,796.5,381.0,304.5
146,Cambodia,0.593,KHM,Asia,Northern Hemisphere,Medium,699.0,368.0,196.0
146,Zimbabwe,0.593,ZWE,Africa,Southern Hemisphere,Medium,486.5,588.5,507.5
148,Angola,0.586,AGO,Africa,Southern Hemisphere,Medium,1029.5,576.5,270.5
149,Myanmar,0.585,MMR,Asia,Northern Hemisphere,Medium,391.0,302.5,254.5
150,Syrian Arab Republic,0.577,SYR,Asia,Northern Hemisphere,Medium,34.0,26.5,29.5
151,Cameroon,0.576,CMR,Africa,Northern Hemisphere,Medium,851.5,741.5,559.0
152,Kenya,0.575,KEN,Africa,Northern Hemisphere,Medium,720.5,570.0,370.0
153,Congo,0.571,COG,Africa,Southern Hemisphere,Medium,713.0,622.5,433.0
154,Zambia,0.565,ZMB,Africa,Southern Hemisphere,Medium,599.5,416.5,248.0
155,Solomon Islands,0.564,SLB,Oceania,Southern Hemisphere,Medium,329.5,193.0,119.0
