HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,DNK,Europe,Northern Hemisphere,Very High,,6,9.5,6.5,4.5
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,DOM,America,Northern Hemisphere,High,LAC,80,124.5,88.0,95.0
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,DZA,Africa,Northern Hemisphere,High,AS,91,198.5,138.0,114.0
95,Ecuador,0.74,73.7,14.6,8.8,"10,312",11,ECU,America,Southern Hemisphere,High,LAC,95,161.0,100.0,67.5
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,EGY,Africa,Northern Hemisphere,High,AS,97,99.0,54.5,39.5
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",3,ERI,Africa,Northern Hemisphere,Low,SSA,176,1550.0,923.5,519.0
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,ESP,Europe,Northern Hemisphere,Very High,,27,5.5,4.5,4.0
31,Estonia,0.89,77.1,15.9,13.5,"38,048",8,EST,Europe,Northern Hemisphere,Very High,,31,35.5,20.0,11.0
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,ETH,Africa,Northern Hemisphere,Low,SSA,175,1155.0,813.5,479.5
11,Finland,0.94,82.0,19.1,12.9,"49,452",11,FIN,Europe,Northern Hemisphere,Very High,,11,5.5,5.0,3.5
99,Fiji,0.73,67.1,14.7,10.9,"9,980",9,FJI,Oceania,Southern Hemisphere,High,EAP,99,63.0,45.0,36.0
28,France,0.903,82.5,15.8,11.6,"45,937",-2,FRA,Europe,Northern Hemisphere,Very High,,28,11.5,9.5,8.5
112,Gabon,0.706,65.8,13.0,9.4,"13,367",-25,GAB,Africa,Southern Hemisphere,High,SSA,112,408.5,347.0,278.0
18,United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,GBR,Europe,Northern Hemisphere,Very High,,18,9.5,10.0,8.0
63,Georgia,0.802,71.7,15.6,12.8,"14,664",17,GEO,Asia,Northern Hemisphere,Very High,ECA,63,32.5,31.5,28.5
133,Ghana,0.632,63.8,12.0,8.3,"5,745",-2,GHA,Africa,Northern Hemisphere,Medium,SSA,133,600.5,411.5,323.5
182,Guinea,0.465,58.9,9.8,2.2,"2,481",-13,GIN,Africa,Northern Hemisphere,Low,SSA,182,885.0,883.5,662.0
174,Gambia,0.5,62.1,9.4,4.6,"2,172",-1,GMB,Africa,Northern Hemisphere,Low,SSA,174,972.5,796.5,626.5
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",0,GNB,Africa,Northern Hemisphere,Low,SSA,177,1335.0,994.5,714.5
145,Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,GNQ,Africa,Northern Hemisphere,Medium,SSA,145,796.5,381.0,304.5
33,Greece,0.887,80.1,20.0,11.4,"29,002",17,GRC,Europe,Northern Hemisphere,Very High,,33,4.5,3.0,3.0
68,Grenada,0.795,74.9,18.7,9.0,"13,484",18,GRD,America,Northern Hemisphere,High,LAC,68,49.0,33.5,26.5
135,Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,GTM,America,Northern Hemisphere,Medium,LAC,135,195.0,145.0,108.5
108,Guyana,0.714,65.7,12.5,8.6,"22,465",-47,GUY,America,Northern Hemisphere,High,LAC,108,219.0,205.0,174.5
137,Honduras,0.621,70.1,10.1,7.1,"5,298",-1,HND,America,Northern Hemisphere,Medium,LAC,137,124.0,79.5,68.5
40,Croatia,0.858,77.6,15.1,12.2,"30,132",8,HRV,Europe,Northern Hemisphere,Very High,,40,10.5,10.0,8.5
163,Haiti,0.535,63.2,9.7,5.6,"2,848",2,HTI,America,Northern Hemisphere,Low,LAC,163,572.5,471.5,488.0
46,Hungary,0.846,74.5,15.0,12.2,"32,789",-2,HUN,Europe,Northern Hemisphere,Very High,,46,20.0,14.5,12.5
114,Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,IDN,Asia,Southern Hemisphere,High,EAP,114,319.5,250.0,199.0
132,India,0.633,67.2,11.9,6.7,"6,590",-6,IND,Asia,Northern Hemisphere,Medium,SA,132,493.5,290.0,165.0
