HDI rank,Country,Human Development Index (HDI Value) ,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),Maternal Mortality Ratio Average (1990-1999),Maternal Mortality Ratio Average (2000-2010),Maternal Mortality Ratio Average (2011-2021)
25,Austria,0.916,Europe,Northern Hemisphere,Very High,0.1745,0.13,0.078,7.0,5.5,5.0
26,United Arab Emirates,0.911,Asia,Northern Hemisphere,Very High,0.632,0.39,0.11499999999999999,10.0,5.0,3.5
27,Spain,0.905,Europe,Northern Hemisphere,Very High,0.16999999999999998,0.11699999999999999,0.076,5.5,4.5,4.0
28,France,0.903,Europe,Northern Hemisphere,Very High,0.21000000000000002,0.162,0.10450000000000001,11.5,9.5,8.5
29,Cyprus,0.896,Asia,Northern Hemisphere,Very High,0.308,0.1845,0.13,12.5,11.0,7.0
30,Italy,0.895,Europe,Northern Hemisphere,Very High,0.199,0.1545,0.0875,5.5,3.0,2.0
31,Estonia,0.89,Europe,Northern Hemisphere,Very High,0.336,0.22250000000000003,0.1395,35.5,20.0,11.0
32,Czechia,0.889,Europe,Northern Hemisphere,Very High,0.239,0.1575,0.129,10.0,5.5,3.5
33,Greece,0.887,Europe,Northern Hemisphere,Very High,0.26849999999999996,0.1785,0.1295,4.5,3.0,3.0
34,Poland,0.876,Europe,Northern Hemisphere,Very High,0.23450000000000001,0.1825,0.1305,12.0,5.0,2.5
35,Bahrain,0.875,Asia,Northern Hemisphere,Very High,,0.252,0.20400000000000001,20.5,22.5,14.5
35,Lithuania,0.875,Europe,Northern Hemisphere,Very High,0.2815,0.20600000000000002,0.129,23.0,13.5,9.0
35,Saudi Arabia,0.875,Asia,Northern Hemisphere,Very High,,0.651,0.445,32.5,21.5,17.5
38,Portugal,0.866,Europe,Northern Hemisphere,Very High,0.223,0.161,0.0935,11.5,9.5,8.5
39,Latvia,0.863,Europe,Northern Hemisphere,Very High,0.3495,0.253,0.189,43.5,30.0,22.5
40,Andorra,0.858,Europe,Northern Hemisphere,Very High,,,,,,
40,Croatia,0.858,Europe,Northern Hemisphere,Very High,0.27849999999999997,0.1635,0.113,10.5,10.0,8.5
42,Chile,0.855,America,Southern Hemisphere,Very High,0.476,0.384,0.257,49.0,25.5,15.5
42,Qatar,0.855,Asia,Northern Hemisphere,Very High,,0.541,0.38,15.5,12.0,9.5
44,San Marino,0.853,Europe,Northern Hemisphere,Very High,,,,,,
45,Slovakia,0.848,Europe,Northern Hemisphere,Very High,0.253,0.20900000000000002,0.19,10.0,7.0,5.5
46,Hungary,0.846,Europe,Northern Hemisphere,Very High,0.318,0.26549999999999996,0.23149999999999998,20.0,14.5,12.5
47,Argentina,0.842,America,Southern Hemisphere,Very High,0.4285,0.38849999999999996,0.3245,77.0,58.5,43.5
49,Montenegro,0.832,Europe,Northern Hemisphere,Very High,,0.207,0.154,12.0,9.5,6.5
50,Kuwait,0.831,Asia,Northern Hemisphere,Very High,0.5774999999999999,0.3925,0.2605,10.5,10.0,11.0
52,Russian Federation,0.822,Europe,Northern Hemisphere,Very High,0.41900000000000004,0.355,0.252,60.0,40.5,20.0
53,Romania,0.821,Europe,Northern Hemisphere,Very High,0.48,0.396,0.3115,94.5,40.5,21.5
54,Oman,0.816,Asia,Northern Hemisphere,Very High,,0.335,0.314,23.0,19.0,18.5
55,Bahamas,0.812,America,Northern Hemisphere,Very High,0.3945,0.376,0.34550000000000003,71.0,76.5,74.0
56,Kazakhstan,0.811,Asia,Northern Hemisphere,Very High,0.4065,0.3275,0.21500000000000002,69.0,41.5,14.5
57,Trinidad and Tobago,0.81,America,Northern Hemisphere,Very High,0.4285,0.3835,0.3565,93.0,76.0,69.5
58,Costa Rica,0.809,America,Northern Hemisphere,Very High,0.45499999999999996,0.38,0.29100000000000004,44.5,36.0,28.5
58,Uruguay,0.809,America,Southern Hemisphere,Very High,0.406,0.351,0.2825,31.5,21.5,17.0
60,Belarus,0.808,Europe,Northern Hemisphere,Very High,,0.151,0.1275,29.0,13.5,3.5
61,Panama,0.805,America,Northern Hemisphere,Very High,0.5265,0.5105,0.4495,99.0,85.0,64.0
62,Malaysia,0.803,Asia,Northern Hemisphere,Very High,0.344,0.2845,0.256,43.5,34.0,29.5
63,Georgia,0.802,Asia,Northern Hemisphere,Very High,,0.40149999999999997,0.34550000000000003,32.5,31.5,28.5
63,Mauritius,0.802,Africa,Southern Hemisphere,Very High,0.4925,0.436,0.359,74.0,62.5,57.5
63,Serbia,0.802,Europe,Northern Hemisphere,Very High,,0.194,0.1615,13.5,12.5,12.0
66,Thailand,0.8,Asia,Northern Hemisphere,Very High,0.4295,0.392,0.351,40.0,42.5,39.0
67,Albania,0.796,Europe,Northern Hemisphere,High,0.33,0.2825,0.198,32.5,22.0,18.5
68,Bulgaria,0.795,Europe,Northern Hemisphere,High,0.348,0.281,0.22349999999999998,22.5,15.5,11.0
68,Grenada,0.795,America,Northern Hemisphere,High,,,,49.0,33.5,26.5
70,Barbados,0.79,America,Northern Hemisphere,High,0.38649999999999995,0.3405,0.29200000000000004,64.5,43.0,31.0
71,Antigua and Barbuda,0.788,America,Northern Hemisphere,High,,,,51.5,44.0,42.5
72,Seychelles,0.785,Africa,Southern Hemisphere,High,,,,55.0,54.0,54.0
73,Sri Lanka,0.782,Asia,Northern Hemisphere,High,0.46399999999999997,0.439,0.395,68.0,47.0,37.0
74,Bosnia and Herzegovina,0.78,Europe,Northern Hemisphere,High,,0.222,0.162,22.5,14.0,10.0
75,Saint Kitts and Nevis,0.777,America,Northern Hemisphere,High,,,,,,
77,Ukraine,0.773,Europe,Northern Hemisphere,High,0.4195,0.34099999999999997,0.259,41.0,30.0,21.0
78,North Macedonia,0.77,Europe,Northern Hemisphere,High,0.3785,0.252,0.15000000000000002,15.0,10.5,7.5
79,China,0.768,Asia,Northern Hemisphere,High,0.275,0.264,0.2185,78.5,47.5,31.5
80,Dominican Republic,0.767,America,Northern Hemisphere,High,0.5455,0.4975,0.45799999999999996,124.5,88.0,95.0
80,Palau,0.767,Oceania,Northern Hemisphere,High,,,,,,
83,Cuba,0.764,America,Northern Hemisphere,High,0.4085,0.351,0.316,55.5,43.5,37.0
84,Peru,0.762,America,Southern Hemisphere,High,0.5469999999999999,0.47050000000000003,0.40800000000000003,201.5,124.0,95.0
85,Armenia,0.759,Asia,Northern Hemisphere,High,0.46599999999999997,0.39949999999999997,0.279,47.5,37.5,28.0
86,Mexico,0.758,America,Northern Hemisphere,High,0.482,0.434,0.35550000000000004,61.5,50.5,38.0
87,Brazil,0.754,America,Southern Hemisphere,High,0.534,0.47850000000000004,0.4185,95.0,67.0,60.5
88,Colombia,0.752,America,Northern Hemisphere,High,0.514,0.48050000000000004,0.4435,108.5,89.5,83.5
89,Saint Vincent and the Grenadines,0.751,America,Northern Hemisphere,High,,,0.39,81.5,71.5,66.0
90,Maldives,0.747,Asia,Northern Hemisphere,High,0.6194999999999999,0.4525,0.3705,358.5,96.0,57.5
91,Azerbaijan,0.745,Asia,Northern Hemisphere,High,0.351,0.346,0.3165,43.0,39.0,28.0
91,Algeria,0.745,Africa,Northern Hemisphere,High,0.6555,0.5585,0.5075000000000001,198.5,138.0,114.0
91,Turkmenistan,0.745,Asia,Northern Hemisphere,High,0.3,0.235,0.1945,50.5,19.5,8.5
91,Tonga,0.745,Oceania,Southern Hemisphere,High,0.6885,0.655,0.5295,87.0,67.0,54.0
95,Ecuador,0.74,America,Southern Hemisphere,High,0.556,0.4685,0.39649999999999996,161.0,100.0,67.5
96,Mongolia,0.739,Asia,Northern Hemisphere,High,0.478,0.425,0.364,184.5,110.5,52.0
97,Egypt,0.731,Africa,Northern Hemisphere,High,0.646,0.587,0.498,99.0,54.5,39.5
97,Tunisia,0.731,Africa,Northern Hemisphere,High,0.48000000000000004,0.34199999999999997,0.27449999999999997,102.5,56.0,44.5
99,Fiji,0.73,Oceania,Southern Hemisphere,High,0.471,0.4065,0.35650000000000004,63.0,45.0,36.0
99,Suriname,0.73,America,Northern Hemisphere,High,,0.517,0.4625,212.0,184.5,129.5
101,Uzbekistan,0.727,Asia,Northern Hemisphere,High,,0.3145,0.259,46.5,36.0,30.5
102,Dominica,0.72,America,Northern Hemisphere,High,,,,,,
102,Jordan,0.72,Asia,Northern Hemisphere,High,0.6345000000000001,0.5375,0.475,84.5,61.5,49.0
104,Libya,0.718,Africa,Northern Hemisphere,High,,0.28,0.274,84.5,61.5,64.0
105,Paraguay,0.717,America,Southern Hemisphere,High,0.5800000000000001,0.5225,0.46399999999999997,190.0,136.5,93.5
106,Saint Lucia,0.715,America,Northern Hemisphere,High,0.4595,0.4145,0.3835,81.5,97.5,116.5
106,"Palestine, State of",0.715,Asia,Northern Hemisphere,High,,,,91.0,57.5,34.5
108,Guyana,0.714,America,Northern Hemisphere,High,0.564,0.5285,0.472,219.0,205.0,174.5
109,South Africa,0.713,Africa,Southern Hemisphere,High,0.485,0.4495,0.42300000000000004,162.0,165.5,140.0
110,Jamaica,0.709,America,Northern Hemisphere,High,0.4555,0.4255,0.372,79.0,78.0,79.5
111,Samoa,0.707,Oceania,Southern Hemisphere,High,,,0.4485,117.5,73.0,48.5
112,Gabon,0.706,Africa,Southern Hemisphere,High,0.6385000000000001,0.6005,0.5575,408.5,347.0,278.0
112,Lebanon,0.706,Asia,Northern Hemisphere,High,,0.445,0.442,39.0,25.5,27.0
114,Indonesia,0.705,Asia,Southern Hemisphere,High,0.577,0.5345,0.47,319.5,250.0,199.0
115,Viet Nam,0.703,Asia,Northern Hemisphere,High,0.372,0.3215,0.308,93.5,57.5,45.0
116,Philippines,0.699,Asia,Northern Hemisphere,Medium,0.505,0.481,0.438,178.0,152.0,131.0
117,Botswana,0.693,Africa,Southern Hemisphere,Medium,0.5720000000000001,0.514,0.48750000000000004,251.5,220.5,160.0
118,Kyrgyzstan,0.692,Asia,Northern Hemisphere,Medium,0.482,0.4145,0.3795,76.5,79.0,69.5
121,Iraq,0.686,Asia,Northern Hemisphere,Medium,0.6945,0.614,0.565,122.5,74.5,73.0
122,Tajikistan,0.685,Asia,Northern Hemisphere,Medium,0.5295000000000001,0.38,0.314,67.5,38.0,19.5
123,Belize,0.683,America,Northern Hemisphere,Medium,0.5305,0.483,0.4085,83.0,71.5,44.0
123,Morocco,0.683,Africa,Northern Hemisphere,Medium,0.7235,0.613,0.45899999999999996,253.0,140.0,78.0
125,El Salvador,0.675,America,Northern Hemisphere,Medium,0.5215000000000001,0.47650000000000003,0.4,94.5,63.5,49.5
126,Nicaragua,0.667,America,Northern Hemisphere,Medium,0.617,0.5445,0.441,206.0,137.0,104.0
