HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,DNK,Europe,Northern Hemisphere,Very High,,0.08349999999999999,0.062,0.028499999999999998
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,DOM,America,Northern Hemisphere,High,LAC,0.5455,0.4975,0.45799999999999996
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,DZA,Africa,Northern Hemisphere,High,AS,0.6555,0.5585,0.5075000000000001
95,Ecuador,0.74,73.7,14.6,8.8,"10,312",11,ECU,America,Southern Hemisphere,High,LAC,0.556,0.4685,0.39649999999999996
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,EGY,Africa,Northern Hemisphere,High,AS,0.646,0.587,0.498
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",3,ERI,Africa,Northern Hemisphere,Low,SSA,,,
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,ESP,Europe,Northern Hemisphere,Very High,,0.16999999999999998,0.11699999999999999,0.076
31,Estonia,0.89,77.1,15.9,13.5,"38,048",8,EST,Europe,Northern Hemisphere,Very High,,0.336,0.22250000000000003,0.1395
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,ETH,Africa,Northern Hemisphere,Low,SSA,,0.596,0.556
11,Finland,0.94,82.0,19.1,12.9,"49,452",11,FIN,Europe,Northern Hemisphere,Very High,,0.095,0.07700000000000001,0.0485
99,Fiji,0.73,67.1,14.7,10.9,"9,980",9,FJI,Oceania,Southern Hemisphere,High,EAP,0.471,0.4065,0.35650000000000004
28,France,0.903,82.5,15.8,11.6,"45,937",-2,FRA,Europe,Northern Hemisphere,Very High,,0.21000000000000002,0.162,0.10450000000000001
112,Gabon,0.706,65.8,13.0,9.4,"13,367",-25,GAB,Africa,Southern Hemisphere,High,SSA,0.6385000000000001,0.6005,0.5575
18,United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,GBR,Europe,Northern Hemisphere,Very High,,0.2455,0.1945,0.1335
63,Georgia,0.802,71.7,15.6,12.8,"14,664",17,GEO,Asia,Northern Hemisphere,Very High,ECA,,0.40149999999999997,0.34550000000000003
133,Ghana,0.632,63.8,12.0,8.3,"5,745",-2,GHA,Africa,Northern Hemisphere,Medium,SSA,0.627,0.5885,0.5505
182,Guinea,0.465,58.9,9.8,2.2,"2,481",-13,GIN,Africa,Northern Hemisphere,Low,SSA,0.698,0.6775,0.636
174,Gambia,0.5,62.1,9.4,4.6,"2,172",-1,GMB,Africa,Northern Hemisphere,Low,SSA,0.767,0.706,0.6335
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",0,GNB,Africa,Northern Hemisphere,Low,SSA,,0.661,0.643
145,Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,GNQ,Africa,Northern Hemisphere,Medium,SSA,,,
33,Greece,0.887,80.1,20.0,11.4,"29,002",17,GRC,Europe,Northern Hemisphere,Very High,,0.26849999999999996,0.1785,0.1295
68,Grenada,0.795,74.9,18.7,9.0,"13,484",18,GRD,America,Northern Hemisphere,High,LAC,,,
135,Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,GTM,America,Northern Hemisphere,Medium,LAC,0.592,0.5665,0.511
108,Guyana,0.714,65.7,12.5,8.6,"22,465",-47,GUY,America,Northern Hemisphere,High,LAC,0.564,0.5285,0.472
137,Honduras,0.621,70.1,10.1,7.1,"5,298",-1,HND,America,Northern Hemisphere,Medium,LAC,0.536,0.5015000000000001,0.4485
40,Croatia,0.858,77.6,15.1,12.2,"30,132",8,HRV,Europe,Northern Hemisphere,Very High,,0.27849999999999997,0.1635,0.113
