HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
108,Guyana,0.714,GUY,America,Northern Hemisphere,High,0.564,0.5285,0.472
137,Honduras,0.621,HND,America,Northern Hemisphere,Medium,0.536,0.5015000000000001,0.4485
40,Croatia,0.858,HRV,Europe,Northern Hemisphere,Very High,0.27849999999999997,0.1635,0.113
163,Haiti,0.535,HTI,America,Northern Hemisphere,Low,,0.625,0.6325000000000001
46,Hungary,0.846,HUN,Europe,Northern Hemisphere,Very High,0.318,0.26549999999999996,0.23149999999999998
114,Indonesia,0.705,IDN,Asia,Southern Hemisphere,High,0.577,0.5345,0.47
132,India,0.633,IND,Asia,Northern Hemisphere,Medium,0.69,0.623,0.5329999999999999
8,Ireland,0.945,IRL,Europe,Northern Hemisphere,Very High,0.2075,0.1825,0.10700000000000001
121,Iraq,0.686,IRQ,Asia,Northern Hemisphere,Medium,0.6945,0.614,0.565
3,Iceland,0.959,ISL,Europe,Northern Hemisphere,Very High,0.16599999999999998,0.11699999999999999,0.0655
22,Israel,0.919,ISR,Asia,Northern Hemisphere,Very High,0.23500000000000001,0.16899999999999998,0.11050000000000001
30,Italy,0.895,ITA,Europe,Northern Hemisphere,Very High,0.199,0.1545,0.0875
110,Jamaica,0.709,JAM,America,Northern Hemisphere,High,0.4555,0.4255,0.372
102,Jordan,0.72,JOR,Asia,Northern Hemisphere,High,0.6345000000000001,0.5375,0.475
19,Japan,0.925,JPN,Asia,Northern Hemisphere,Very High,0.1585,0.1305,0.098
56,Kazakhstan,0.811,KAZ,Asia,Northern Hemisphere,Very High,0.4065,0.3275,0.21500000000000002
152,Kenya,0.575,KEN,Africa,Northern Hemisphere,Medium,0.704,0.6425,0.5469999999999999
118,Kyrgyzstan,0.692,KGZ,Asia,Northern Hemisphere,Medium,0.482,0.4145,0.3795
146,Cambodia,0.593,KHM,Asia,Northern Hemisphere,Medium,0.6535,0.556,0.484
136,Kiribati,0.624,KIR,Oceania,Northern Hemisphere,Medium,,,
75,Saint Kitts and Nevis,0.777,KNA,America,Northern Hemisphere,High,,,
50,Kuwait,0.831,KWT,Asia,Northern Hemisphere,Very High,0.5774999999999999,0.3925,0.2605
112,Lebanon,0.706,LBN,Asia,Northern Hemisphere,High,,0.445,0.442
178,Liberia,0.481,LBR,Africa,Northern Hemisphere,Low,,0.671,0.657
104,Libya,0.718,LBY,Africa,Northern Hemisphere,High,,0.28,0.274
106,Saint Lucia,0.715,LCA,America,Northern Hemisphere,High,0.4595,0.4145,0.3835
16,Liechtenstein,0.935,LIE,Europe,Northern Hemisphere,Very High,,,
73,Sri Lanka,0.782,LKA,Asia,Northern Hemisphere,High,0.46399999999999997,0.439,0.395
168,Lesotho,0.514,LSO,Africa,Southern Hemisphere,Low,0.5854999999999999,0.5715,0.557
